old_case	baseline_inputs	baseline_sha256	assertion	disposition	destination	observation	verification
pa4/tests/250-badvaargs-param.t	pa4/tests/250-badvaargs-param.t	e55f6573c60b0eab753eae54e2b3d3d1f1150d66870270898bc39743e0203630	badvaargs param	retain	pa4/tests/macros/250-badvaargs-param.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-badvaargs-undef.t	pa4/tests/250-badvaargs-undef.t	fed894d8a0dbd33a218af28ef9b25b1ced733284fd3a3fe3d22d3a27139511e4	badvaargs undef	retain	pa4/tests/macros/250-badvaargs-undef.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-badvargs1.t	pa4/tests/250-badvargs1.t	5dd1a220c4ffaf9099ab0c5870e135978178902665e4852c209667f4990c74c9	badvargs1	retain	pa4/tests/macros/250-badvargs1.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-badvargs2.t	pa4/tests/250-badvargs2.t	d98748c05b7e088217c2c1a1aaedff62e99313745ddbe1bcefedc71d479843ce	badvargs2	retain	pa4/tests/macros/250-badvargs2.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-badvargs3.t	pa4/tests/250-badvargs3.t	d78cb6df09e74c431c728823a0ae94fa58bfe9eda40fee0f14c6987ab8ee1983	badvargs3	retain	pa4/tests/macros/250-badvargs3.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-badvargs4.t	pa4/tests/250-badvargs4.t	1404e0c39049a61874723a51db555535de4bb293ee7b670f12be05eceda0235a	badvargs4	retain	pa4/tests/macros/250-badvargs4.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-empty-function-macro-argument.t	pa4/tests/250-empty-function-macro-argument.t	4c3d8acb07892e9424f27c8b2b628d13fec6371d917c1965ad33201486a12c93	empty function macro argument	retain	pa4/tests/macros/250-empty-function-macro-argument.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-goodvaargs.t	pa4/tests/250-goodvaargs.t	5cfb37901da309fccdca8922c54f8a67c4915eeb1c25e0ac83c49a1482150778	goodvaargs	retain	pa4/tests/macros/250-goodvaargs.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-join.t	pa4/tests/250-join.t	bd7d1bcb0139a8dbef1dd8ab1f7cc918ead11e7c52516ae0b0374ce0830105b3	join	retain	pa4/tests/macros/250-join.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-nested-macro-argument-commas.t	pa4/tests/250-nested-macro-argument-commas.t	6b090da1f756d785fff70ad482ee1be32f5a2369f63124a5c79b770c9974c857	nested macro argument commas	retain	pa4/tests/macros/250-nested-macro-argument-commas.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/250-stringized-argument-not-expanded.t	pa4/tests/250-stringized-argument-not-expanded.t	19049db1c9265cd3d6342d6e67dcafb314ec17a1b156e210456063368ea16a62	stringized argument not expanded	retain	pa4/tests/macros/250-stringized-argument-not-expanded.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash1-1.t	pa4/tests/300-badhash1-1.t	7b8e1a184648e2247eb76b063d0324e1049c654fb23efe6575b4f804663efcc8	badhash1 1	retain	pa4/tests/macros/300-badhash1-1.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash1-2.t	pa4/tests/300-badhash1-2.t	ac0f85b6f0fcacb8a118f11f0c5a3c95d938ec92d6d6909c878291cafd8d150a	badhash1 2	retain	pa4/tests/macros/300-badhash1-2.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash1-3.t	pa4/tests/300-badhash1-3.t	51c5c763fb2a560031fb0d1ffa13a3cebaf8e89d8bd53b177d06d6013caca971	badhash1 3	retain	pa4/tests/macros/300-badhash1-3.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash2-1.t	pa4/tests/300-badhash2-1.t	f5aede29434b02b0790b6f5afb2ba9ad3029fb24ef891f45e2ff1f42645f37d8	badhash2 1	retain	pa4/tests/macros/300-badhash2-1.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash2-2.t	pa4/tests/300-badhash2-2.t	39571dd6253c1e2de23b86a51e1660a9442347c8e9eea1df5b8de9a046dd1478	badhash2 2	retain	pa4/tests/macros/300-badhash2-2.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash2-3.t	pa4/tests/300-badhash2-3.t	cd809798e8db345e8f254978b430f2a6dabafec972fc3ed0d1991d742bac2fb8	badhash2 3	retain	pa4/tests/macros/300-badhash2-3.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-badhash2-4.t	pa4/tests/300-badhash2-4.t	627ccb24907428f4cdbfa2745a83f3d4f6890f7cfaf6102630a03da99705a675	badhash2 4	retain	pa4/tests/macros/300-badhash2-4.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-define-missing-macro-name.t	pa4/tests/300-define-missing-macro-name.t	8c4f61463a6d71ee42bf11c550075989d8c388c6166464ddceb4c89927e740e8	define missing macro name	retain	pa4/tests/macros/300-define-missing-macro-name.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-directive-tokens-from-macro-argument.t	pa4/tests/300-directive-tokens-from-macro-argument.t	100e9c1a757a899db28e0f9e149d94ab3552b7e1355acebf2254b5cf08374f98	directive tokens from macro argument	retire		Unexpanded hash directive tokens produce an invalid phase-7 stream; retire dump observation	Contract review: old success required printing invalid phase-7 tokens
pa4/tests/300-double-hash.t	pa4/tests/300-double-hash.t	801cd3f88cd0430f28b0bfbc9f5779eb013173391773cda9214bacdd4237b846	double hash	reduce/split	pa4/tests/macros/300-double-hash.t	Valid empty/identifier/literal/punctuation and multi-token-argument pastes retained; invalid phase-7 output removed; replace the invalid stand-alone combining-mark operand with a valid UCN identifier operand	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-gnu-variadic-comma-paste.t	pa4/tests/300-gnu-variadic-comma-paste.t	3f7d9ad7634bdaa9df4cbb3ab379996015b8ba084f043c335fcf03c3e98cb5dd	gnu variadic comma paste	retain	pa4/tests/macros/300-gnu-variadic-comma-paste.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-identifier-missing.t	pa4/tests/300-identifier-missing.t	08eeb79935b2e00fc0a15d80525dadef45d587257b1957a7f2a7554bce883525	identifier missing	retain	pa4/tests/macros/300-identifier-missing.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-invalid-token-paste.t	pa4/tests/300-invalid-token-paste.t	fc03ac4edc4fa543a46736334078c88b1598315e5d51bdf9f456846b658dd01f	invalid token paste	retain	pa4/tests/macros/300-invalid-token-paste.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-macro-redefinition-whitespace.t	pa4/tests/300-macro-redefinition-whitespace.t	d5e167a1c3eefcd701d9bb090f6b2c44de59d9049049de9a6efd6d40cbf42a3d	macro redefinition whitespace	retain	pa4/tests/macros/300-macro-redefinition-whitespace.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-nonstringized-invalid-macro-argument.t	pa4/tests/300-nonstringized-invalid-macro-argument.t	130b3f03b488c9d98d414d60cfd6ada1ee2289f7b7401bbe4b06cb2ae582a710	nonstringized invalid macro argument	retain	pa4/tests/macros/300-nonstringized-invalid-macro-argument.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-object-function-macro-redefinition.t	pa4/tests/300-object-function-macro-redefinition.t	4e4008594a3ae499f458c3d33aec4c74908e3f8c1a8f2debcdaa43b1825edbe0	object function macro redefinition	retain	pa4/tests/macros/300-object-function-macro-redefinition.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-redef.t	pa4/tests/300-redef.t	96fdd5120ba1ba7c28a7c6a261158a82710786bd33cba7f440030cbf6f840afa	redef	retain	pa4/tests/macros/300-redef.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-token-paste-multiple-parameter-tokens.t	pa4/tests/300-token-paste-multiple-parameter-tokens.t	7fe25ed72868ad3124ba9e4eb8fc3ba23b011cb39fa15a313d33aca8bb7265a0	token paste multiple parameter tokens	reduce/split	pa4/tests/macros/300-token-paste-multiple-parameter-tokens.t	Valid empty/identifier/literal/punctuation and multi-token-argument pastes retained; invalid phase-7 output removed	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-undef-extra.t	pa4/tests/300-undef-extra.t	a1c5d597c5b465bd7e27775cc1dd54c3acf941f456744035bef7901ebddfe42a	undef extra	retain	pa4/tests/macros/300-undef-extra.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-unterminated-function-macro-after-comma.t	pa4/tests/300-unterminated-function-macro-after-comma.t	ea99d2bd78586168de717476d973d5db053288c263ca136a358bb8a441b1764a	unterminated function macro after comma	retain	pa4/tests/macros/300-unterminated-function-macro-after-comma.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-unterminated-function-macro-parameter.t	pa4/tests/300-unterminated-function-macro-parameter.t	fc1403a8f595f261922787c5ab6970d18769203c8508441fbc4c9bd00b285500	unterminated function macro parameter	retain	pa4/tests/macros/300-unterminated-function-macro-parameter.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-unterminated-function-macro-parameters.t	pa4/tests/300-unterminated-function-macro-parameters.t	dbf4daa3ccc51ed27ddc485b72c47797e088efd2d855c73324cafdffb6da8b05	unterminated function macro parameters	retain	pa4/tests/macros/300-unterminated-function-macro-parameters.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-variadic-only-parameter-must-close.t	pa4/tests/300-variadic-only-parameter-must-close.t	163d308979f40c619f349fe69a769dfedcc7feed58677a166d9c14b3e6ffa1a4	variadic only parameter must close	retain	pa4/tests/macros/300-variadic-only-parameter-must-close.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/300-variadic-tail-parameter-must-close.t	pa4/tests/300-variadic-tail-parameter-must-close.t	e0588b9614555f93a7a61032311e329cb965273d81e62154cf97fffead400055	variadic tail parameter must close	retain	pa4/tests/macros/300-variadic-tail-parameter-must-close.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/400-fun-macro-define.t	pa4/tests/400-fun-macro-define.t	4e2bd4ee695af6f9d124289b24c666e81abae5f3e57903dd6f0ba6941389bfd7	fun macro define	retain	pa4/tests/macros/400-fun-macro-define.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/410-trigraph-in-raw-string.t	pa4/tests/410-trigraph-in-raw-string.t	369284af92221df7155141a1e4f17842d6180e07a88e925c261964296eac3714	trigraph in raw string	retain	pa4/tests/macros/410-trigraph-in-raw-string.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/500-hello-world.t	pa4/tests/500-hello-world.t	9c83fd27183c0890ffc572d75f110f08d99e6b77d396aa5f443af1fc65e4cc14	hello world	retain	pa4/tests/macros/500-hello-world.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/500-raw-string-token-paste.t	pa4/tests/500-raw-string-token-paste.t	9f4a0c38501d8a47a1dc948894d832b0e63002c70d45417ad32b71e565429699	raw string token paste	retain	pa4/tests/macros/500-raw-string-token-paste.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/500-tricky-join.t	pa4/tests/500-tricky-join.t	fa4b43adf6e82027ec1092af26d132a3ba7054d7abf694ff24f0eebca23da02e	tricky join	retain	pa4/tests/macros/500-tricky-join.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/600-hash-from-macro.t	pa4/tests/600-hash-from-macro.t	83c14b3dcd6512840f0432292d35fbf5c28e2264d6625a429be21ef9afa9aac4	hash from macro	retire		Expanded hash does not create a directive, but its dump is invalid phase-7 output; retire old success expectation	Contract review: old success required printing invalid phase-7 tokens
pa4/tests/600-macro-rescan-boundaries.t	pa4/tests/600-macro-rescan-boundaries.t	354478992b15a50f866e7a1f39edd81526ac8a03d826484d0da855043ede5051	macro rescan boundaries	retain	pa4/tests/macros/600-macro-rescan-boundaries.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/600-parameter-selected-macro-rescans.t	pa4/tests/600-parameter-selected-macro-rescans.t	f9d7cb4e67daf52df6258108f4ca502f88826a28bb549730625a2fecfe717cfb	parameter selected macro rescans	retain	pa4/tests/macros/600-parameter-selected-macro-rescans.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/600-pasted-helper-macro-rescans.t	pa4/tests/600-pasted-helper-macro-rescans.t	75b10db7d9a5e8fbd7707f7292592945473297d7f75d09809b2b217dc806cb6c	pasted helper macro rescans	retain	pa4/tests/macros/600-pasted-helper-macro-rescans.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/600-recurse.t	pa4/tests/600-recurse.t	30152b54c078b000a37eccaa17acab34dcbc3066c1807cebeac11d2f7c42f406	recurse	retain	pa4/tests/macros/600-recurse.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/600-tail-helper-macro-rescans.t	pa4/tests/600-tail-helper-macro-rescans.t	4a3daa9c11a5941ab948208bab12ce71835a9a6cb9763fae638be94cf1397d18	tail helper macro rescans	retain	pa4/tests/macros/600-tail-helper-macro-rescans.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/600-unavailable-paint-through-function-replacement.t	pa4/tests/600-unavailable-paint-through-function-replacement.t	a0ee928ad40337bfe047857d796014f639e373ae9f7fbbb78a4038fb5ae3deeb	unavailable paint through function replacement	retain	pa4/tests/macros/600-unavailable-paint-through-function-replacement.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/650-recurse.t	pa4/tests/650-recurse.t	5aadb8c580bf69927eca62bcfcb34c0019805eabb1f6b2d4cdb7b360f100f1b6	recurse	retain	pa4/tests/macros/650-recurse.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redef-a.t	pa4/tests/700-redef-a.t	d80a477c5563d618e9bcb367ade69504deed12ee5a004100bd8996a2d132134a	redef a	retain	pa4/tests/macros/700-redef-a.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redef-q.t	pa4/tests/700-redef-q.t	203e88a394d9b7e08ea3af4eb4441def39b341a10b92d31e868b2b6f67d4a518	redef q	retain	pa4/tests/macros/700-redef-q.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redef2.t	pa4/tests/700-redef2.t	01c9bab3cd7beafacc3e4d7278e691d7b5285809a090e20d65ade6d8ae3ffa38	redef2	retain	pa4/tests/macros/700-redef2.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redeferr1.t	pa4/tests/700-redeferr1.t	dcc2abab04c283aa050fa955078d34200071bd151a5f096f2c29d21af1fea8cb	redeferr1	retain	pa4/tests/macros/700-redeferr1.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redeferr2.t	pa4/tests/700-redeferr2.t	85758095da9ba022a5ad835f655ea9db7c1fb5378f3fe9c1c2692b15b5b1807a	redeferr2	retain	pa4/tests/macros/700-redeferr2.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redeferr3.t	pa4/tests/700-redeferr3.t	869a39073db3da96bbe9d8bdbbc24841d96c8e2eed7616d81b023e4bf014fd88	redeferr3	retain	pa4/tests/macros/700-redeferr3.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-redeferr4.t	pa4/tests/700-redeferr4.t	17d907ea9a1c95f2340eb0e1c1c2103b2acd2f2a22771605acd04d2ce7d960f0	redeferr4	retain	pa4/tests/macros/700-redeferr4.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-strlit-a.t	pa4/tests/700-strlit-a.t	5739fae5bb6f3ba087758abf755d03ac2d89036c14a86ca7b35e73e505a48a6f	strlit a	retain	pa4/tests/macros/700-strlit-a.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-strlit-a2.t	pa4/tests/700-strlit-a2.t	b610017d4818cc3131b1078d06c56217a5c76aa8166f90182bfa91e60cc77509	strlit a2	retain	pa4/tests/macros/700-strlit-a2.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/700-strlit-q.t	pa4/tests/700-strlit-q.t	b3106fa12b609971a113d006ea75c974c1a0bdf68a562275e7b74a22e9fff021	strlit q	retain	pa4/tests/macros/700-strlit-q.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/800-placemarker-a.t	pa4/tests/800-placemarker-a.t	adcc9a68e4e1753a212df0e281d4dfac2eef146ebc1623faf5b26584e5c8fd05	placemarker a	retain	pa4/tests/macros/800-placemarker-a.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/800-placemarker-q.t	pa4/tests/800-placemarker-q.t	0f1fb4642d641dc5ad0e7a94aa9186ac4bd39f77182c61bd63b7aa72f6c475d9	placemarker q	retain	pa4/tests/macros/800-placemarker-q.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/850-varargs-a.t	pa4/tests/850-varargs-a.t	d9ab1717a5b44335009efbdd8af602f0019910a64c8ea6ec793a08c4b11c0549	varargs a	retain	pa4/tests/macros/850-varargs-a.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/850-varargs-q.t	pa4/tests/850-varargs-q.t	55747925dee7d3c3d6f9153b351cdaa99ed6506d392d814e28e382dea10dc1b7	varargs q	retain	pa4/tests/macros/850-varargs-q.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/900-recurse.t	pa4/tests/900-recurse.t	1b8d651bf0580e87089855031025924bcbd0ab982f1bae0a1b638eb562812b8a	recurse	retain	pa4/tests/macros/900-recurse.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
