test	final_disposition	reason
pa23/tests/general/300-alias-sfinae-inherited-member-value.t	keep-pa23-integration	manual keep after PA22 reducer audit: PA23 function-wrapper source is materially larger than the focused PA22 reducer and combines inherited static values, noexcept/decltype probes, alias enable_if, member templates, and constructor selection
pa23/tests/general/300-member-template-assignment-sfinae-copy-fallback.t	keep-pa23-integration	manual keep after PA22 reducer audit: smaller non-template box assignment reducer passes Opus start 1963d796e, so the function<R(Args...)> partial-specialization wrapper is part of the minimal historical signal; PA23 keeps this member-template assignment/copy-fallback composition while PA22 retains focused regression coverage
pa23/tests/general/300-qualified-member-class-explicit-specialization.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 5 template concepts (dependent-name; explicit-specialization; integral-nttp; member-template; no-eager-instantiation)
pa23/tests/general/300-single-element-detector-idiom-sfinae-false.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 7 template concepts (alias-template; dependent-name; detector-idiom; explicit-specialization; integral-nttp; pack-expansion; sfinae)
pa23/tests/general/300-variadic-disjunction-conjunction-nontype-bool.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (alias-template; dependent-name; explicit-specialization; integral-nttp; pack-expansion; sfinae)
pa23/tests/general/400-alias-rebind-partial-specialization-shadow.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (alias-template; dependent-name; integral-nttp; member-template; pack-expansion; template-template-parameter)
pa23/tests/general/400-allocator-rebind-function-type-value.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 7 template concepts (alias-template; dependent-name; integral-nttp; member-template; pack-expansion; partial-specialization; template-template-parameter)
pa23/tests/general/400-dependent-function-type-member-specialization.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (dependent-name; pack-expansion; partial-specialization)
pa23/tests/general/400-dependent-multiarg-function-type-template-argument.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (dependent-name; pack-expansion; partial-specialization)
pa23/tests/general/400-elaborated-type-template-arg-false-branch.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (alias-template; dependent-name; integral-nttp; partial-specialization)
pa23/tests/general/400-elaborated-type-template-arg-true-branch.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (alias-template; dependent-name; integral-nttp; partial-specialization)
pa23/tests/general/400-function-type-tail-pack-recursive-specialization.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (alias-template; dependent-name; integral-nttp; member-template; pack-expansion; partial-specialization)
pa23/tests/general/400-out-of-class-ctor-using-imported-member-template.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (dependent-name; integral-nttp; member-template; partial-specialization)
pa23/tests/general/400-out-of-class-member-template-definition.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; member-template)
pa23/tests/general/400-template-member-assignment-operator.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (member-template; pack-expansion; partial-specialization)
pa23/tests/general/400-variable-template-specializations.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (explicit-specialization; variable-template)
pa23/tests/general/500-decltype-call-substitution-failure-partial-specialization.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (dependent-name; partial-specialization; substitution)
pa23/tests/general/500-qualified-member-function-value-fallback-sfinae.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 7 template concepts (alias-template; dependent-name; integral-nttp; member-template; pack-expansion; partial-specialization; sfinae)
pa23/tests/general/500-recursive-qualified-member-template-bool-arg.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 5 template concepts (dependent-name; integral-nttp; member-template; partial-specialization; template-template-parameter)
pa23/tests/spec/100-explicit-specialization-static-data-member.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; explicit-specialization)
pa23/tests/spec/100-using-declaration-imports-function-template.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (dependent-name; explicit-specialization; integral-nttp; member-template)
pa23/tests/spec/400-member-template-nontype-param-shadows-inherited-value.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (integral-nttp; member-template)
pa23/tests/spec/400-out-of-class-member-template-tag-dispatch-definition.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; member-template)
pa23/tests/spec/400-out-of-class-overloaded-member-template-definition.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; member-template)
pa23/tests/spec/500-nondeduced-qualified-member-type-allows-conversion.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (dependent-name; function-deduction; non-deduced-context; partial-specialization)
pa23/tests/spec/500-unqualified-member-template-local-alias-deduction.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 5 template concepts (alias-template; dependent-name; function-deduction; integral-nttp; member-template)
pa23/tests/general/500-alias-template-template-defaulted-sfinae-canonical-args.t	keep-pa23-integration	manual keep after PA22 reducer audit: MP11-style alias canonical-argument validity probe combines alias rebinding, pack expansion, template-template probing, and SFINAE; PA22 reducer remains focused earlier coverage while PA23 keeps integration shape
pa23/tests/general/500-async-initiate-dependent-return-sfinae.t	keep-pa23-integration	manual keep after PA22 reducer audit: async initiation source combines dependent return types, overload sets, completion-signature packs, forwarding references, and SFINAE; PA22 reducer remains focused earlier coverage while PA23 keeps integration shape
pa23/tests/general/500-constructor-sfinae-member-template-value.t	keep-pa23-integration	manual keep after PA22 reducer audit: constructor selection source combines recursive member-template value traits, conditional constraints, parameter packs, and constructor SFINAE; PA22 reducer remains focused earlier coverage while PA23 keeps integration shape
pa23/tests/general/500-defaulted-pack-bool-short-circuit-sfinae.t	keep-pa23-integration	manual keep after PA22 reducer audit: constructor source combines pack-size bool defaults, alias enable_if, short-circuit substitution, and overload selection; PA22 reducer remains focused earlier coverage while PA23 keeps integration shape
pa23/tests/general/500-source-owner-member-template-sfinae-default.t	keep-pa23-integration	manual keep after PA22 reducer audit: string-like insert source combines dependent source-owner collection, out-of-class static member replay, member-template overloads, and SFINAE defaults; PA22 reducer remains focused earlier coverage while PA23 keeps integration shape
