test	directory	prefix	opus_initial	trusted_initial	aggregate_reason	opus_failure	trusted_failure	feature_cluster	opus_commit_evidence	opus_plan_evidence	opus_log_evidence	candidate_owner_pa	classification	minimal_example	proposed_test_path	action_status	notes
pa23/tests/general/100-dependent-qualified-nontype-base-argument.t	pa23/tests/general	100	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-dependent-qualified-nontype-base-argument.my.lowir.compare.diff	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	non-type-template-argument-deduction-packs-and-static-values	8e4c41d4 nested template-id NTTP deduction; 984146a7c NTTP pack in nested template-id; b444d928a array-bound NTTP deduction in class partial spec; d062aba6a synthesize NTTP pack in partial ordering; 9cfd2427e bind NTTP pack on template/alias instantiation; 25727803a reference/pointer NTTPs	Opus final plan Work log items 11/12 and loop notes connect NTTP packs/static values with partial-specialization and deduction behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-dependent-qualified-nontype-base-argument.my.lowir.compare.diff	pa19	no-missing-opus-feature	analysis/reducers/pa19-dependent-qualified-nontype-base-argument.t		no-action	Exact value-object source has reference EH declaration drift, but the type/pointer-shaped PA19 reducer is g++ C++11 valid, current/reference compare clean, and already compares clean at Opus start 1963d796e; no missing earlier feature was proven.
pa23/tests/general/100-dependent-recursive-arity-specialization-order.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	dependent-qualified-lookup-current-specialization-and-friend-scope	7020b769c dependent qualified name without typename; 3bec27bf4 alias-template-id qualifier in value context; 51026c3d2 injected-class-name functional cast; b921be822 substitute TTP in current-specialization type; 72025a570 NTTP from class-template-id arg + in-class labels; 997e77f27 qualified-member call most-vexing parse	Opus final pa23/plan.md Work log items 5/8/10 and Loop 56 notes cover dependent qualified lookup, current specialization, friend/member scope, and source owner preservation.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa18-or-pa21	implementation-bug-only			no-action	seed=trusted_only; Opus PA23 start 1963d796e already accepts this row, so there is no Opus fail/fix transition for an earlier reducer backfill.
pa23/tests/general/100-dependent-sizeof-owner-special-member.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	constant-evaluation-dependent-template-values	8bafc1c42 materialize named static value member; 1407a001e shift-count width fix; 693cb4159 emit static members of complete-object class-template instantiations	Opus final pa23/plan.md Fix 14 and Loop 60 notes describe dependent static value reads, static_assert/template-argument distinction, and object-completion static emission.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa20	feature-interaction-earliest-owner	analysis/reducers/pa20-dependent-sizeof-owner-special-member.t	pa20/tests/general/400-dependent-sizeof-owner-special-member.t	test-added	seed=both_fail; reducer is C++11-valid and current/reference accept it; Opus PA23 start 1963d796e rejects with unknown type name bits<Size>; Opus 8bafc1c42 accepts; promoted to PA20 because the assertion is sizeof constant-expression reuse in a non-type template argument and out-of-class special-member owner replay, not PA22 deduction/SFINAE; PA20 placement audit passed with --fail-on-early.
pa23/tests/general/100-destructor-template-id-sfinae.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-candidate-dropping	ab8927777 destructor-call detector idiom; 53a5589b7 SFINAE-drop defaulted NTTP type failure; da9a5cdc4 fully concrete defaulted-NTTP guard failure; e486d6544 overload-set address non-deduced	Opus plan loop notes identify SFINAE candidate dropping and defaulted non-type parameter guards as PA22-owned deduction/substitution behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	missing-earlier-feature	pa22/tests/general/300-destructor-template-id-sfinae.t	pa22/tests/general/300-destructor-template-id-sfinae.t	test-added	seed=both_fail; reducer failed at Opus PA23 start 1963d796e with static_assert failure and passed at ab8927777 when destructor-call detector typing landed; focused PA22 check and witness compare passed; PA22 placement audit passed with --fail-on-early; PA22 report passed 74/74.
pa23/tests/general/100-direct-namespace-wins-over-using-directive.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	dependent-qualified-lookup-current-specialization-and-friend-scope	7020b769c dependent qualified name without typename; 3bec27bf4 alias-template-id qualifier in value context; 51026c3d2 injected-class-name functional cast; b921be822 substitute TTP in current-specialization type; 72025a570 NTTP from class-template-id arg + in-class labels; 997e77f27 qualified-member call most-vexing parse	Opus final pa23/plan.md Work log items 5/8/10 and Loop 56 notes cover dependent qualified lookup, current specialization, friend/member scope, and source owner preservation.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa18-or-pa21	implementation-bug-only			no-action	seed=trusted_only; Opus PA23 start 1963d796e already accepts this row, so there is no Opus fail/fix transition for an earlier reducer backfill.
pa23/tests/general/100-explicit-specialization-cross-converting-ctor-body.t	pa23/tests/general	100	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-explicit-specialization-cross-converting-ctor-body.my.lowir.compare.diff	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	explicit-specialization-and-explicit-instantiation-ownership	0044efd8b explicit-instantiation lowering; 447aab065 stale primary refresh; b9c1574cb member-function explicit specialization; 569fcbd79 member-function explicit instantiation; fb9e82eeb full explicit-specialization defaults	Opus final plan Work log items 9/11 plus explicit-specialization rejection notes cover stale-primary refresh, member ownership, static data, and explicit-instantiation lowering.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-explicit-specialization-cross-converting-ctor-body.my.lowir.compare.diff	pa21	harness-or-reference-issue	analysis/reducers/pa21-explicit-specialization-cross-converting-ctor-body.t		no-action	seed=both_fail; value-object reducer is C++11 valid and current/reference both accept, but relaxed LowIR comparison fails because external reference emits EH runtime declarations and omits constructor aliases; no-call reducer is reference-stable but passes Opus start, so no promotable PA21 test; recorded in analysis/reference-reducer-failures.md
pa23/tests/general/100-explicit-specialization-redeclaration-keeps-definition.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	explicit-specialization-and-explicit-instantiation-ownership	0044efd8b explicit-instantiation lowering; 447aab065 stale primary refresh; b9c1574cb member-function explicit specialization; 569fcbd79 member-function explicit instantiation; fb9e82eeb full explicit-specialization defaults	Opus final plan Work log items 9/11 plus explicit-specialization rejection notes cover stale-primary refresh, member ownership, static data, and explicit-instantiation lowering.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	implementation-bug-only			no-action	no earlier assignment test added: PA23 source accepts at Opus PA23 start 1963d796e and sampled explicit-specialization commits, so there is no Opus fail/fix transition proving a missing earlier reducer
pa23/tests/general/100-explicit-specialization-refreshes-stale-primary-instantiation.t	pa23/tests/general	100	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		explicit-specialization-and-explicit-instantiation-ownership	0044efd8b explicit-instantiation lowering; 447aab065 stale primary refresh; b9c1574cb member-function explicit specialization; 569fcbd79 member-function explicit instantiation; fb9e82eeb full explicit-specialization defaults	Opus final plan Work log items 9/11 plus explicit-specialization rejection notes cover stale-primary refresh, member ownership, static data, and explicit-instantiation lowering.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	analysis/reducers/pa21-explicit-specialization-refreshes-stale-primary-instantiation.t	pa21/tests/spec/300-explicit-specialization-refreshes-stale-primary-instantiation.t	test-added	seed=opus_only; PA21 explicit-specialization ownership/backfill; C++11 valid; current/reference accept; Opus start 1963d796e rejects with unknown char_type and Opus 447aab065 accepts; external refs generated; focused PA21 check passed
pa23/tests/general/100-explicit-specialized-ctor-template-header-bad.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)	tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)	explicit-specialization-and-explicit-instantiation-ownership	0044efd8b explicit-instantiation lowering; 447aab065 stale primary refresh; b9c1574cb member-function explicit specialization; 569fcbd79 member-function explicit instantiation; fb9e82eeb full explicit-specialization defaults	Opus final plan Work log items 9/11 plus explicit-specialization rejection notes cover stale-primary refresh, member ownership, static data, and explicit-instantiation lowering.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)	pa21	feature-interaction-earliest-owner	analysis/reducers/pa21-explicit-specialized-ctor-template-header-bad.t	pa21/tests/spec/300-explicit-specialized-ctor-template-header-bad.t	test-added	seed=both_fail; negative PA21 explicit-specialization ownership rule; g++ rejects as invalid C++11 and current/reference reject; Opus start 1963d796e wrongly accepts and Opus fb9e82eeb rejects; external failure refs generated; focused PA21 check passed
pa23/tests/general/100-forward-primary-partial-switch-value.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	non-type-template-argument-deduction-packs-and-static-values	8e4c41d4 nested template-id NTTP deduction; 984146a7c NTTP pack in nested template-id; b444d928a array-bound NTTP deduction in class partial spec; d062aba6a synthesize NTTP pack in partial ordering; 9cfd2427e bind NTTP pack on template/alias instantiation; 25727803a reference/pointer NTTPs	Opus final plan Work log items 11/12 and loop notes connect NTTP packs/static values with partial-specialization and deduction behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	missing-earlier-feature	pa21/tests/general/400-forward-primary-partial-switch-value.t	pa21/tests/general/400-forward-primary-partial-switch-value.t	test-added	Exact PA23 source promoted as PA21 partial-specialization/current switch reducer; g++ C++11 valid; current/reference compare clean; Opus start 1963d796e rejects, Opus 1434a6e11 compares clean; focused PA21 check, placement audit, and PA21 report passed.
pa23/tests/general/100-function-template-array-parameter-string-literal.t	pa23/tests/general	100	fail	pass	opus_only	generated LowIR failed sanity validation: function @main block ^entry copyobj must use positive byte count and power-of-two alignment		array-bound-and-array-reference-template-deduction	cfe57ace1 pa23: decay an array (or function) function parameter to a pointer	Opus final plan Work log item 7 and PA22 loop notes cover array-bound NTTP deduction and array-reference function-template deduction.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR failed sanity validation: function @main block ^entry copyobj must use positive byte count and power-of-two alignment	pa22	missing-earlier-feature	delimiter(Char const[]) called with string literal deduces Char=char after array parameter adjustment, not pointer-to-char	pa22/tests/spec/100-function-template-array-parameter-string-literal.t	test-added	Backfilled in PA22 spec. Historical reducer at Opus PA23 start 1963d796e exited 0 but emitted delimiter_type_pointer_to_const_char LowIR; at cfe57ace1 it emitted delimiter_type_char. Focused LowIR and witness checks passed.
pa23/tests/general/100-function-type-not-pointer-partial-specialization.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	direct-start-pass	derive reduced example from pa23/tests/general/100-function-type-not-pointer-partial-specialization.t		no-action	seed=trusted_only; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; direct PA23 source accepted at Opus start 1963d796e and emitted identical LowIR through sampled fixes; no earlier reducer added
pa23/tests/general/100-function-type-top-level-cv-ignored.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	function-type-template-argument-and-partial-specialization-matching	d0f00dc7a pa23: abominable function-type cv-qualifiers in partial specializations	Opus final pa23/plan.md Work log item 7 and loop notes identify function-type template arguments, cv/ref qualifiers, and function-type partial specializations.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	is_const_match<const int()> selects primary while is_const_match<const int> selects const partial	pa21/tests/spec/100-function-type-top-level-cv-partial-specialization.t	test-added	Backfilled in PA21 spec. Historical reducer failed at Opus PA23 start 1963d796e with static_assert failure and passed at d0f00dc7a; focused LowIR and witness checks passed.
pa23/tests/general/100-inline-class-template-member-required-output.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	constant-evaluation-dependent-template-values	8bafc1c42 materialize named static value member; 1407a001e shift-count width fix; 693cb4159 emit static members of complete-object class-template instantiations	Opus final pa23/plan.md Fix 14 and Loop 60 notes describe dependent static value reads, static_assert/template-argument distinction, and object-completion static emission.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	none	implementation-bug-only	pa23/tests/general/100-inline-class-template-member-required-output.t		no-action	seed=trusted_fail; source is C++11-valid and current/reference accept it, but Opus PA23 start 1963d796e already accepts this row; no Opus fail/fix transition, so no earlier-assignment reducer promoted.
pa23/tests/general/100-inline-namespace-qualified-class-template-member-typedef.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	dependent-qualified-lookup-current-specialization-and-friend-scope	7020b769c dependent qualified name without typename; 3bec27bf4 alias-template-id qualifier in value context; 51026c3d2 injected-class-name functional cast; b921be822 substitute TTP in current-specialization type; 72025a570 NTTP from class-template-id arg + in-class labels; 997e77f27 qualified-member call most-vexing parse	Opus final pa23/plan.md Work log items 5/8/10 and Loop 56 notes cover dependent qualified lookup, current specialization, friend/member scope, and source owner preservation.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa18-or-pa21	implementation-bug-only			no-action	seed=trusted_only; Opus PA23 start 1963d796e already accepts this row, so there is no Opus fail/fix transition for an earlier reducer backfill.
pa23/tests/general/100-intermediate-type-transform-value-nontype.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	integral-nontype-template-arguments-and-constant-values	8e4c41d4 non-type deduction in nested template-id partial-spec patterns; 8bafc1c42 static value member materialization	Opus final plan ties integral NTTP values and static value members to PA19 metaprogramming and later PA22 deduction.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa19	implementation-bug-only	pa23/tests/general/100-intermediate-type-transform-value-nontype.t		no-action	seed=trusted_only; no earlier assignment test added because the PA23 source shape already passes the Opus PA23 start anchor 1963d796e and sampled commits 8e4c41d4/8bafc1c42 with unchanged LowIR; Trusted failure kept as secondary evidence only, but no reducer has an Opus start/fix transition.
