category	surface	producer	consumer	owner	property_test	disposition	evidence
instruction	eh_catch_all	exception lowering;explicit LowIR	LSDA;native	pa21/README.md	pa21/tests/general/200-source-catch-ellipsis.t	keep	catch-all clause
instruction	eh_end	exception lowering;explicit LowIR	EH CFG;native	pa8/README.md	pa8/tests/spec/100-eh-end-normal.t	keep	EH region exit
instruction	throw	exception lowering;explicit LowIR	EH runtime;native	pa21/README.md	pa21/tests/general/100-source-try-catch-int.t	keep	throw semantics
instruction	exception	exception lowering;explicit LowIR	landing-pad lowering;native	pa8/README.md	pa8/tests/spec/100-eh-same-function-catch.t	keep	exception object value
instruction	exception_selector	exception lowering;explicit LowIR	landing-pad lowering;native	pa21/README.md	pa26/tests/general/300-lsda-distinct-catch-actions.t	keep	selector value
instruction	resume	exception lowering;explicit LowIR	EH CFG;native	pa8/README.md	pa8/tests/spec/100-eh-cleanup-resume.t	keep	resume unwinding
instruction	jump	semantic lowering;explicit LowIR	CFG;native	pa8/README.md	pa8/tests/spec/100-while-break.t	keep	unconditional edge
instruction	branch	semantic lowering;explicit LowIR	CFG;native	pa8/README.md	pa8/tests/spec/100-if-else.t	keep	conditional edges
instruction	switch	semantic lowering;explicit LowIR	CFG;native	pa8/README.md	pa24/tests/strict/100-switch-terminator.t	keep	multiway edges
instruction	return	semantic lowering;explicit LowIR	CFG;native	pa8/README.md	pa8/tests/spec/100-ret0.t	keep	function exit
instruction	unreachable	builtin lowering;explicit LowIR	CFG cleanup;native;object roundtrip	pa8/README.md	pa24/tests/controls/916-unreachable-terminator.t	keep	undefined continuation is direct control flow, with source ownership in PA11 and serialized behavior in PA32
metadata	role	semantic/runtime lowering;explicit LowIR	startup;EH;runtime;RTTI;native	pa8/README.md	pa8/tests/spec/100-startup-shutdown-hooks.t	keep	values classified in role rows
role	entry	source main lowering;explicit LowIR	entry selection;startup	pa8/README.md	pa8/tests/spec/100-ret0.t	keep	program entry
role	init	global initialization lowering;explicit LowIR	startup ordering	pa8/README.md	pa8/tests/spec/100-startup-shutdown-hooks.t	keep	startup hook
role	fini	global finalization lowering;explicit LowIR	shutdown ordering	pa8/README.md	pa8/tests/spec/100-startup-shutdown-hooks.t	keep	shutdown hook
role	eh_top	removed	retired adapter-private runtime storage	pa8/README.md	MISSING	remove	obsolete public override; adapter-private runtime retired
role	eh_value	removed	retired adapter-private runtime storage	pa8/README.md	MISSING	remove	obsolete public override; adapter-private runtime retired
role	eh_type	none	transport only	pa8/README.md	MISSING	remove	no producer or behavioral consumer
role	eh_unhandled	removed	retired adapter-private fallback	pa8/README.md	MISSING	remove	obsolete public override; adapter-private fallback retired
role	eh_allocate_exception	exception lowering	EH runtime mapping;native	pa21/README.md	pa21/tests/general/100-source-try-catch-int.t	keep	active runtime import
role	eh_begin_catch	exception lowering	EH runtime mapping;native	pa21/README.md	pa21/tests/general/100-source-try-catch-int.t	keep	active runtime import
role	eh_call_unexpected	none	transport only	pa8/README.md	MISSING	remove	no producer or behavioral consumer
role	eh_current_exception_type	none	transport only	pa8/README.md	MISSING	remove	no producer or behavioral consumer
role	eh_end_catch	exception lowering	EH runtime mapping;native	pa21/README.md	pa21/tests/general/100-source-try-catch-int.t	keep	active runtime import
role	eh_rethrow	exception lowering	EH runtime mapping;native	pa21/README.md	pa21/tests/general/100-source-rethrow-through-function.t	keep	active runtime import
role	eh_throw	exception lowering	EH runtime mapping;native	pa21/README.md	pa21/tests/general/100-throw-function-decays-to-pointer.t	keep	active runtime import
role	eh_personality	exception lowering	LSDA;host EH;native	pa21/README.md	pa21/tests/general/100-source-try-catch-int.t	keep	active personality import
role	eh_resume	exception lowering	EH runtime mapping;native	pa21/README.md	pa8/tests/spec/100-eh-cleanup-resume.t	keep	active runtime import
role	allocate_memory	new-expression lowering	allocation runtime mapping;native	pa12/README.md	pa12/tests/general/300-class-new-expression-default-constructor.t	keep	active runtime import
role	free_memory	delete-expression lowering	allocation runtime mapping;native	pa12/README.md	pa12/tests/general/400-delete-array-expression.t	keep	active runtime import
role	terminate	exception/lifecycle lowering	EH termination policy;native	pa21/README.md	pa8/tests/spec/200-function-effect-metadata-smoke.t	keep	active runtime import
role	pure_virtual	virtual dispatch lowering	pure-virtual runtime mapping;native	pa23/README.md	pa23/tests/general/100-multibase-destructor-primary-pure-slot-concrete-call.t	keep	active runtime import
role	dynamic_cast	RTTI lowering	RTTI runtime mapping;native	pa21/README.md	pa21/tests/general/100-dynamic-cast-success.t	keep	active runtime import
role	bad_cast	RTTI lowering	RTTI runtime mapping;native	pa21/README.md	pa21/tests/general/100-bad-dynamic-cast-reference.t	keep	active runtime import
role	bad_typeid	RTTI lowering	RTTI runtime mapping;native	pa23/README.md	pa23/tests/general/100-typeid-nonprimary-view.t	keep	active runtime import
role	rtti_class	RTTI lowering	RTTI object mapping;native	pa21/README.md	pa21/tests/general/100-typeid-type.t	keep	active RTTI object
role	rtti_si	RTTI lowering	RTTI object mapping;native	pa22/README.md	pa22/tests/general/100-dynamic-cast-void.t	keep	active RTTI object
role	rtti_vmi	RTTI lowering	RTTI object mapping;native	pa23/README.md	pa23/tests/general/100-multibase-inherited-virtual-slot-identity.t	keep	active RTTI object
role	rtti_data	RTTI lowering	RTTI object mapping;native	pa21/README.md	pa21/tests/general/100-throw-function-decays-to-pointer.t	keep	active RTTI object
role	unreachable	none	none	pa8/README.md	scripts/compare_results_common.pl	remove	replaced by the first-class unreachable terminator
metadata	linkage=c	semantic lowering;explicit LowIR	native symbol and call ABI	pa8/README.md	pa8/tests/spec/200-linkage-metadata-smoke.t	keep	non-default C linkage is not derivable after source lowering
metadata	linkage=cpp	removed	canonical omitted C++ linkage	pa8/README.md		remove	explicit redundant spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	binding=internal|strong|weak	semantic lowering;explicit LowIR	reachability;ELF binding;relocations	pa8/README.md	pa8/tests/spec/200-binding-metadata-smoke.t	keep	non-default object binding is non-derivable
metadata	object=<name>	ABI lowering;explicit LowIR	ELF symbol spelling;linking	pa8/README.md	pa8/tests/spec/300-symbol-object-metadata-smoke.t	keep	external object identity
metadata	tls_for=<global>	TLS lowering;explicit LowIR	TLS wrapper emission	pa8/README.md	pa8/tests/spec/200-thread-local-wrapper-metadata-smoke.t	keep	wrapper-to-object relationship
metadata	keep_alias=yes	semantic ownership lowering;explicit LowIR	ELF alias retention	pa8/README.md	pa8/tests/spec/300-object-alias-smoke.t	keep	active alias-retention request; omission is false
metadata	keep_alias=no	removed	canonical omitted false flag	pa8/README.md		remove	explicit false spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	prefer_local=yes	semantic visibility lowering;explicit LowIR	ELF relocation/binding selection	pa8/README.md	pa8/tests/spec/300-symbol-object-metadata-smoke.t	keep	active local-binding preference; omission is false
metadata	prefer_local=no	removed	canonical omitted false flag	pa8/README.md		remove	explicit false spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	object_root=yes	lifecycle/semantic demand lowering;explicit LowIR	function reachability and pruning	pa8/README.md	pa32/tests/object-roundtrip/490-lifecycle-base-entry-inline.cpp	keep	language-required emission; omission is false
metadata	object_root=no	removed	canonical omitted false flag	pa8/README.md		remove	explicit false spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	trivial_lifecycle=yes|no	removed	normalized to force_inline plus independent object_root	pa11/README.md	pa32/tests/object-roundtrip/490-lifecycle-base-entry-inline.cpp	remove	public field removed after normalization at the semantic-to-LowIR boundary
metadata	force_inline=yes	semantic policy lowering;explicit LowIR	mandatory inliner	pa8/README.md	pa32/tests/object-roundtrip/420-force-inline-ordered-blocks.cpp	keep	active inlining policy; omission is false
metadata	force_inline=no	removed	canonical omitted false flag	pa8/README.md		remove	explicit false spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	inline_hint=yes	attribute/lowering;explicit LowIR	inliner;O1 lifetime-bounded load reuse	pa8/README.md	pa32/tests/regression/controls/526-late-inline-hint-load-reuse.t	keep	active optimization policy; omission is false
metadata	inline_hint=no	removed	canonical omitted false flag	pa8/README.md		remove	explicit false spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	no_inline=yes	attribute/lowering;explicit LowIR	inliner exclusion	pa8/README.md	pa32/tests/regression/controls/520-inline-limit-once-cap.t	keep	active source policy; omission is false
metadata	no_inline=no	removed	canonical omitted false flag	pa8/README.md		remove	explicit false spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	elision=copy	PA12 conditional-prvalue lowering;explicit LowIR	O2/O3 private-slot copy-elision proof	pa8/lowir.md;pa12/README.md;pa32/README.md	pa32/tests/regression/controls/540-copy-elision-permission.t;pa12/tests/controls/534-conditional-copy-elision-permission.cpp;pa32/tests/regression/controls/540-copy-elision-permission.t;pa32/tests/object-roundtrip/520-conditional-copy-elision-replay.cpp	keep	source-language permission is serialized; O0/O1 retain ordinary transfer and lifetime behavior; direct and replayed objects match at every level
metadata	storage=readonly|thread_local	semantic lowering;explicit LowIR	readonly folding;TLS;ELF placement	pa8/README.md	pa8/tests/spec/200-global-storage-metadata-smoke.t	keep	non-default readonly and TLS storage are active
metadata	storage=writable	removed	canonical omitted writable storage	pa8/README.md		remove	explicit writable spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	arity=variadic	semantic lowering;explicit LowIR	call validation;varargs ABI	pa8/README.md	pa8/tests/spec/200-variadic-function-arity.t	keep	variadic distinction changes validation and ABI
metadata	arity=fixed|prototype_relaxed	removed	canonical omitted fixed arity	pa8/README.md		remove	relaxed mode removed and explicit fixed spelling canonicalized to omission; former dormant diagnostic retired in consolidation inventory
metadata	effects=readnone|readonly	builtin/function lowering;explicit LowIR	memory barriers;load reuse	pa8/README.md	pa8/tests/spec/200-function-effect-metadata-smoke.t	keep	non-default memory effects are active
metadata	effects=readwrite	removed	canonical omitted read/write effects	pa8/README.md		remove	explicit conservative spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	unwind=no	function lowering;explicit LowIR	EH edge and call cleanup	pa8/README.md	pa8/tests/spec/200-function-effect-metadata-smoke.t	keep	nounwind changes control flow
metadata	unwind=may	removed	canonical omitted may-unwind behavior	pa8/README.md		remove	explicit conservative spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	return=noreturn	function lowering;explicit LowIR	CFG continuation cleanup;native	pa8/README.md	pa8/tests/spec/200-function-effect-metadata-smoke.t	keep	noreturn changes continuation semantics
metadata	query=stable_prefix	PA12 cppgm_stable_prefix attribute;explicit LowIR	O3 repeat-stable result reuse and constant-group clone composition	pa8/lowir.md;pa12/README.md;pa32/README.md;pa33/README.md	pa33/tests/regression/controls/458-stable-prefix-boundary-replay.t;pa12/tests/controls/535-stable-prefix-query-boundary.cpp;pa32/tests/regression/controls/541-o3-stable-prefix-query.t;pa32/tests/object-roundtrip/530-stable-prefix-query-replay.cpp;pa33/tests/regression/controls/458-stable-prefix-boundary-replay.t	keep	fixed scalar boundary with final integer prefix index; invalid shapes rejected; O0-O2 isolated; O3 clone relationship, barriers, compiler-object replay, and behavior structurally checked
metadata	return=returns	removed	canonical omitted returning behavior	pa8/README.md		remove	explicit conservative spelling removed; former dormant diagnostic retired in consolidation inventory
metadata	pass=indirect_result|by_address	ABI/source lowering;explicit LowIR	call ABI and addressable-storage materialization	pa8/lowir.md	pa24/tests/strict/600-call-pass-mode-address-materialization.t;pa24/tests/controls/918-by-address-call-materializes-storage.t;pa24/tests/controls/918-by-address-call-materializes-storage.t	keep	direct, decay, and reference-origin spellings removed; by_address is the shared indirect object/value/reference boundary and preserves scalar-result address materialization
metadata	object_bytes=<positive-integer>	PA12 complete-object boundary lowering;explicit LowIR	O3 bounded parameter memory analysis and native address-pressure reduction	pa8/lowir.md;pa12/README.md;pa32/README.md;pa33/README.md	pa32/tests/regression/controls/543-o3-bounded-object-memory.t;pa32/tests/object-roundtrip/540-parameter-object-extent-replay.cpp;pa12/tests/controls/536-parameter-object-extent-boundary.cpp;pa32/tests/regression/controls/543-o3-bounded-object-memory.t;pa32/tests/object-roundtrip/540-parameter-object-extent-replay.cpp;pa33/tests/regression/controls/459-o3-parameter-address-rematerialization.t	keep	positive pointer-only complete semantic region; structural controls cover producer boundaries, text and compiler-object transport, O3-only disjoint interval and body-effect consumption, conservative barriers, native pressure, and behavior
metadata	capture=nocapture|maycapture	removed	transport and signature identity only	pa8/README.md	scripts/compare_results_common.pl	remove	no optimization, ABI, object, or native consumer
metadata	access=none|read|write|readwrite	removed	transport and signature identity only	pa8/README.md	scripts/compare_results_common.pl	remove	no optimization, ABI, object, or native consumer
metadata	alias=noalias	boundary lowering;explicit LowIR	staged-copy disjointness proof	pa8/README.md	pa8/tests/spec/200-parameter-alias-metadata-smoke.t	keep	active noalias consumer; omission is the conservative default
metadata	projection=array_element|field	address lowering;explicit LowIR	expression keys;scaled index;table folding;copy/zero transforms	pa8/README.md	pa24/tests/structural/500-ptr-diff-switch.t;pa33/tests/o1/400-rematerialized-storage-addresses.t	keep	active array/field kinds property-tested
metadata	projection=base_subobject|reference_field	removed	ordinary field semantics	pa8/README.md	scripts/compare_results_common.pl	remove	source-origin-only projection labels removed
metadata	section=<token-safe-name>	PA27 GNU section lowering;explicit LowIR	ELF global placement and relocation section ownership	pa8/lowir.md;pa27/README.md;pa32/README.md	pa27/tests/controls/section-token-safe.cpp;pa32/tests/object-roundtrip/510-gnu-section-attribute.cpp;pa27/tests/controls/section-token-safe.cpp;pa32/tests/object-roundtrip/510-gnu-section-attribute.cpp	keep	global-only ASCII alnum/underscore/dot surface; direct and serialized O0-O3 object relationships checked
metadata	section_segment	internal PA10 only	transport through PA25 and MIR	pa25/README.md	MISSING	remove	no producer or Linux target consumer
debug	!dbg(file,line,column)	semantic source locations;explicit LowIR	line table;object roundtrip	pa8/README.md	pa8/tests/spec/100-function-and-instruction-debug-locations.t	keep	object-visible source mapping
